title,keywords
Junior Data Specialist,"['bi', 'данными', 'сфера', 'power', 'управление']"
Junior/Middle QA Engineer,"['an', 'as', 'concepts', 'familiarity', 'language']"
Младший системный администратор,"['компьютер', 'срок', 'требование', 'сеть', 'год']"
Web-разработчик Backend,"['ruby', 'php', 'программирование', 'язык', 'год']"
Junior developer (разработчик Phyton),"['портфолио', 'ооп', 'готовность', 'принцип', 'понимание']"
Senior Python Developer,"['ai', 'aiohttp', 'aioredis', 'airflow', 'alerting']"
QA тестировщик,"['ci', 'аналог', 'jenkins', 'настройка', 'cd']"
Тестировщик в области гражданской авиации,"['cd', 'ci', 'allure', 'jenkins', 'gitlab']"
DevOps Engineer,"['кластеризация', 'оптимизация', 'плюс', 'система', 'программирование']"
Инженер QA,"['appium', 'jmeter', 'приоритет', 'selenium', 'автоматизация']"
Бизнес-аналитик,"['битрикс', 'платформа', 'технология', 'образование', 'уровень']"
Аналитик данных,"['объём', 'подход', 'проактивность', 'аналитика', 'мышление']"
Python разработчик (Middle+ / Senior) на проекты КД Max,"['фреймворки', 'веб', 'субд', 'приложение', 'создание']"
Ведущий эксперт Направления противодействия мошенничеству,"['sheets', 'таблицами', 'google', 'excel', 'основа']"
Ведущий системный администратор Linux (2 линия ТП),"['оборудование', 'стек', 'протокол', 'образование', 'знание']"
Тестировщик/QA,"['тестировщиком', 'тестирование', 'опыт', 'приложение', 'rest']"
Python-разработчик,"['openai', 'framework', 'linux', 'bash', 'git']"
Аналитик данных,"['гипотеза', 'numpy', 'основа', 'pandas', 'плюс']"
Python-разработчик в команду Автоматизации сетевых сервисов,"['restplus', 'restx', 'clickhouse', 'kafka', 'highlighttext']"
Automation Python QA Engineer/Тестировщик автоматизатор (Junior),"['grpc', 'swagger', 'postman', 'requests', 'архитектура']"
Python-разработчик,"['брокер', 'сообщение', 'core', 'git', 'запрос']"
Middle Python разработчик,"['специалист', 'моделирование', 'highlighttext', 'решение', 'база']"
"Программист Python (Django, FastAPI)","['ai', 'aiohttp', 'aioredis', 'airflow', 'alerting']"
Аналитик данных,"['power', 'dax', 'query', 'дашбордов', 'построение']"
Инженер исследовательского тестирования,"['опыт', 'система', 'написание', 'работа', 'программирование']"
Junior Data Analyst,"['metabase', 'redash', 'исследование', 'ресерчей', 'greenplum']"
Ведущий QA-инженер / Senior QA Engineer,"['администрирование', 'bash', 'задача', 'скрипт', 'уровень']"
Тестировщик QA,"['playwright', 'автотестов', 'selenium', 'pytest', 'инструмент']"
Младший тестировщик,"['документация', 'чтение', 'playwright', 'автотестов', 'rest']"
Специалист по искусственному интеллекту (AI),"['идея', 'внедрение', 'pytorch', 'tensorflow', 'фреймворками']"
Ведущий разработчик Python,"['образование', 'soap', 'webservers', 'devops', 'xml']"
Младший системный администратор,"['дисциплина', 'наука', 'область', 'технология', 'образование']"
Python-разработчик,"['разработка', 'celery', 'drf', 'redis', 'опыт']"
Бизнес/Системный аналитик,"['nats', 'rabbitmq', 'kafka', 'работа', 'архитектура']"
Стажер-разработчик,"['программирование', 'php', 'java', 'javascript', 'основа']"
Fullstack Developer (Junior+/Middle),"['express', 'mern', 'mongodb', 'redux', 'toolkit']"
Python-разработчик,"['ai', 'aiohttp', 'aioredis', 'airflow', 'alerting']"
Full-stack аналитик (платежные системы),"['bpmn', 'miro', 'uml', 'youtrack', 'инструментов']"
Программист-разработчик (Python/Django) / Middle back-end developer,"['docker', 'django', 'rabbitmq', 'работа', 'redis']"
Backend-разработчик,"['ai', 'aiohttp', 'aioredis', 'airflow', 'alerting']"
Middle Python Developer,"['django', 'фреймворками', 'flask', 'rest', 'fastapi']"
Дата-инженер/Data Engineer (команда Data Lake),"['scala', 'организация', 'spark', 'стремление', 'хранилище']"
Специалист по машинному обучению,"['transformers', 'архитектурами', 'pytorch', 'библиотеками', 'алгоритм']"
Junior ROS2 Developer (Водные дроны),"['запуск', 'программа', 'создание', 'написание', 'принцип']"
Инженер-тестировщик (ручное тестирование),"['контроль', 'версия', 'процесс', 'система', 'тестирование']"
Младший специалист по анализу данных / Junior Data Scientist,"['моделирование', 'библиотеками', 'данными', 'проект', 'владение']"
Продуктовый аналитик / Product analyst,"['уровень', 'ms', 'excel', 'sql', 'highlighttext']"
Разработчик интеграционных решений (Python),"['awk', 'sed', 'sh', 'yaml', 'xml']"
Специалист по тестированию (senior) (Депозитарий),"['type', 'script', 'кейс', 'java', 'фреймворк']"
Frontend-разработчик,"['проксирования', 'раздача', 'статистика', 'настройка', 'sqlalchemy']"
Golang/Python,"['vue', 'script', 'фронт', 'node', 'js']"
Мануальный QA (middle) в EdTech,"['кейс', 'приоритет', 'задача', 'тест', 'образование']"
Аналитик данных,"['данными', 'уровень', 'анализ', 'работа', 'язык']"
Data Analyst (Junior),"['данные', 'обработка', 'уровень', 'умение', 'язык']"
Python-разработчик,"['инициативность', 'поиск', 'ооп', 'решение', 'задача']"
Разработчик (GoLang),"['perl', 'php', 'команда', 'опыт', 'java']"
QA-инженер (fullstack),"['средство', 'знакомство', 'тест', 'использование', 'фреймворк']"
Разработчик,"['интеллект', 'react', 'задача', 'проект', 'javascript']"
Python-разработчик,"['pix', 'rpa', 'bot', 'low', 'платформа']"
BI-аналитик / аналитик бизнес-метрик,"['визуализация', 'аналитика', 'power', 'bi', 'база']"
Data Scientist,"['catboost', 'prophet', 'sklearn', 'ряд', 'lightgbm']"
Backend-разработчик (Python/Java),"['spring', 'java', 'принцип', 'django', 'работа']"
Python-разработчик (Middle/Senior),"['drf', 'postgresql', 'библиотека', 'redis', 'фреймворк']"
Junior Data Analyst,"['анализ', 'аппарат', 'данных', 'статистика', 'основа']"
Системный аналитик,"['заказчик', 'интервью', 'компания', 'аналитик', 'должность']"
Python разработчик,"['tornado', 'работа', 'опыт', 'flask', 'фреймворк']"
"Разработчик TypeScript, Fullstack","['open', 'source', 'вклад', 'проект', 'процесс']"
Junior Python-разработчик,"['месяц', 'принцип', 'понимание', 'highlighttext', 'знание']"
BI разработчик,"['pl', 'qlik', 'позиция', 'tableau', 'power']"
Python-разработчик,"['асинхронность', 'опыт', 'понимание', 'разработка', 'год']"
Разработчик SQL/Python,"['группа', 'описание', 'следование', 'стандарт', 'проектирование']"
Инженер по тестированию / QA engineer (виртуализация),"['iac', 'конфигурациями', 'terraform', 'ansible', 'управление']"
Data аналитик,"['spark', 'ms', 'highlighttext', 'обучение', 'область']"
QA engineer,"['роль', 'тестировщика', 'пользователь', 'скрипт', 'уровень']"
Junior Python Backend Developer,"['знание', 'работа', 'умение', 'опыт', 'highlighttext']"
Java разработчик (middle+/senior),"['опыт', 'разработка', 'работа', 'highlighttext', 'python']"
Java Developer,"['многопоточность', 'задача', 'опыт', 'разработка', 'год']"
Python-разработчик,"['aioredis', 'multiprocessing', 'asyncio', 'асинхронность', 'разработка']"
Manual QA specialist (middle),"['желание', 'автотестах', 'безопасность', 'интерес', 'алгоритм']"
QA Engineer/Ведущий тестировщик,"['tms', 'минимум', 'confluence', 'jira', 'js']"
Системный аналитик/Бизнес-аналитик,"['ит', 'стандарт', 'область', 'технология', 'плюс']"
Web-программист,"['обучение', 'pytorch', 'tensorflow', 'модель', 'библиотека']"
Тестировщик,"['restfull', 'cypress', 'postman', 'json', 'работа']"
Специалист по информационной безопасности,"['edr', 'siem', 'soar', 'tip', 'администрирование']"
Инженер по тестированию / Software Tester,"['unix', 'os', 'linux', 'задача', 'скрипт']"
Аналитик данных / Data Analyst,"['by', 'group', 'select', 'where', 'редактор']"
Junior Python developer,"['bootstrap', 'вопрос', 'курс', 'html', 'образование']"
Senior Python Developer,"['опыт', 'rest', 'база', 'api', 'работа']"
IOS-разработчик,"['mvvm', 'realm', 'viper', 'наличие', 'core']"
Разработчик C++,"['cmake', 'поддержка', 'паттерн', 'создание', 'git']"
Python Senior,"['применение', 'архитектура', 'принцип', 'ai', 'aiohttp']"
Data Engineer,"['elt', 'etl', 'clickhouse', 'postgres', 'работа']"
Аналитик данных,"['отчёт', 'таблица', 'построение', 'функция', 'power']"
Аналитик данных Junior,"['ментор', 'руководство', 'интерес', 'человек', 'логика']"
Junior Analyst/Project Manager AI/ML,"['learning', 'machine', 'science', 'экспертиза', 'data']"
"Python-разработчик, Middle (Middle+)","['docker', 'compose', 'разработка', 'год', 'highlighttext']"
Data Engineer / Data Analyst + Hadoop,"['баланс', 'витрина', 'скорость', 'цикл', 'разработка']"
Практикант в команду DevOps инженеров,"['ai', 'aiohttp', 'aioredis', 'airflow', 'alerting']"
Junior Data Analyst,"['ориентация', 'результат', 'matplotlib', 'библиотеками', 'команда']"
Junior разработчик (Python/Go/JavaScript/Java/PHP),"['подготовка', 'go', 'php', 'стек', 'java']"
"Java-разработчик (Senior), банковский проект","['apache', 'airflow', 'контроль', 'версия', 'тест']"
Python-разработчик,"['aioredis', 'multiprocessing', 'asyncio', 'асинхронность', 'разработка']"
Тестировщик,"['автотестирования', 'браузер', 'консоль', 'проведение', 'разработчик']"
"Программист Python (FastApi, Django)","['linux', 'git', 'фреймворк', 'база', 'знание']"
Python Developer (Middle),"['highlighttext', 'асинхронность', 'работа', 'умение', 'опыт']"
Разработчик Python,"['flask', 'фреймворк', 'fastapi', 'django', 'владение']"
Ведущий тестировщик (Fullstack),"['паттерн', 'реализация', 'год', 'проектирование', 'автотестов']"
QA Engineer / Инженер по тестированию,"['and', 'bonus', 'performance', 'systems', 'testing']"
Аналитик,"['dwh', 'данных', 'устройство', 'хранилище', 'обработка']"
Middle Backend Python программист,"['кандидат', 'использование', 'опыт', 'разработка', 'год']"
Python разработчик,"['использование', 'часть', 'парсинга', 'сервис', 'highlighttext']"
Data Scientist Junior+,"['panda', 'scikit', 'библиотеками', 'сфера', 'numpy']"
Аналитик данных Junior,"['ментор', 'руководство', 'интерес', 'человек', 'логика']"
Стажер/Помощник Инженера DevOps,"['bitbucket', 'graylog', 'loki', 'prometheus', 'grafana']"
Аналитик данных,"['datalens', 'аналитик', 'tableau', 'power', 'bi']"
Scrapy Developer / Парсинг,"['библиотека', 'проект', 'основа', 'код', 'написание']"
Frontend разработчик (Trainee/Junior),"['конструкция', 'яп', 'golang', 'тип', 'контроль']"
Разработчик (без опыта),"['джуна', 'интерн', 'питониста', 'навык', 'разработка']"
Python-разработчик,"['масштабирование', 'сервис', 'мониторинг', 'оптимизация', 'приложение']"
Python backend engineer (Middle),"['ооп', 'highlighttext', 'принцип', 'умение', 'понимание']"
